fiscal_year,imports_bn,duties_bn,baseline_etr
2025,4170.0,80.0,0.019184652278177457
2026,4283.0,84.0,0.01961242120009339
2027,4468.0,87.0,0.01947179946284691
2028,4634.0,89.0,0.019205869659041863
2029,4786.0,91.0,0.019013790221479313
2030,4945.0,92.0,0.018604651162790697
2031,5137.0,95.0,0.018493284017909284
2032,5338.0,97.0,0.018171599850131136
2033,5544.0,100.0,0.018037518037518036
2034,5753.0,102.0,0.01772988006257605
2035,5961.0,105.0,0.017614494212380472
