year,quarter,GDP,LEB,LURC
2024,3,20707.94141,132.9998474,4.174790382
2024,4,20805.10938,133.3506317,4.192771435
2025,1,20907.50781,133.5021973,4.228922367
2025,2,20968.60742,133.4980011,4.328085899
2025,3,21026.30273,133.3751831,4.458240986
2025,4,21123.96289,133.3020935,4.578660965
2026,1,21198.85156,133.2418976,4.710684299
2026,2,21287.93945,133.1777191,4.786955357
2026,3,21360.39453,133.0510254,4.818804741
2026,4,21490.03125,133.0393372,4.784051895
2027,1,21588.40234,133.0917053,4.773188114
2027,2,21705.43359,133.2228851,4.746823788
2027,3,21781.82227,133.3311462,4.746950626
2027,4,21867.93359,133.4080353,4.738619328
2028,1,21962.64258,133.4901276,4.715203285
2028,2,22063.87305,133.6062927,4.683171749
2028,3,22172.86914,133.7651825,4.634376049
2028,4,22285.32227,133.9707794,4.573056698
2029,1,22387.38086,134.1815338,4.511481762
2029,2,22493.74023,134.4035645,4.451854229
2029,3,22585.01172,134.5941162,4.409020424
2029,4,22681.78711,134.7681885,4.376051426
2030,1,22781.5918,134.9140167,4.336539745
2030,2,22892.72656,135.0662842,4.308928967
2030,3,22985.91406,135.208847,4.270075321
2030,4,23082.28711,135.3734436,4.256604195
2031,1,23180.31641,135.526474,4.241710663
2031,2,23281.27734,135.6703644,4.223353863
2031,3,23381.25977,135.8043976,4.205747128
2031,4,23481.05469,135.9295654,4.192904949
2032,1,23580.86914,136.0439453,4.183849335
2032,2,23682.49805,136.1514435,4.176944256
2032,3,23783.86914,136.2497253,4.171010494
2032,4,23886.54492,136.3440399,4.167768002
2033,1,23992.59375,136.4399414,4.163489342
2033,2,24102.08203,136.5426483,4.155323505
2033,3,24209.66602,136.6426849,4.14555645
2033,4,24315.39258,136.7358246,4.14091444
2034,1,24423.33398,136.8244629,4.139109135
2034,2,24534.78906,136.9145966,4.136579514
2034,3,24646.00977,136.9989014,4.130469799
2034,4,24757.51953,137.0805817,4.126553535
2035,1,24872.37695,137.160141,4.125216007
2035,2,24988.35938,137.2420044,4.123213768
2035,3,25101.69922,137.3163605,4.123115063
2035,4,25213.21875,137.3789673,4.131372452
