gtap_sector,china,row,canada,mexico,ftrow,japan,eu,uk,total
pdr,0.429,1.635,0.001,0,0.108,0,0.136,0.011,2.321
wht,0.124,13.723,705.476,2.711,0.21,0.002,7.792,0.589,730.627
gro,0.892,283.857,566.223,18.449,143.929,0.064,61.108,0.082,1074.605
v_f,423.016,3522.192,2187.658,13367.901,7708.276,13.72,567.767,10.558,27801.09
osd,18.544,503.548,506.277,21.617,87.408,0.646,52.229,1.4,1191.669
c_b,0.041,1.613,0.001,0.313,0.149,0,0.272,0.082,2.471
pfb,0.038,75.16,0.064,1.418,0.931,0.035,5.089,0.198,82.935
ocr,280.224,5789.064,608.172,337.17,4148.391,38.757,533.24,25.622,11760.64
ctl,0.233,42.892,964.96,727.742,12.648,0.599,431.522,19.709,2200.303
oap,224.848,727.533,674.035,102.997,96.279,0.185,160.313,18.554,2004.743
rmk,0.147,4.917,0.063,0.037,0.209,0.01,1.15,0.04,6.571
wol,0.267,1.936,0.913,0.085,2.265,0.008,4.05,0.889,10.413
frs,27.159,114.84,79.952,55.35,46.579,1.295,65.641,2.727,393.544
fsh,7.779,943.385,1322.002,120.915,258.276,41.576,97.347,309.669,3100.949
coa,0.073,44.763,74.776,0.086,302.515,0,0.485,0.014,422.712
oil,35.724,72082.242,46120.043,11477.056,6351.848,0.038,76.908,214.994,136358.852
gas,0.001,1003.512,17178.143,0.336,15.639,0,5.414,0.052,18203.097
oxt,314.579,2645.956,1262.231,346.319,1297.535,52.327,525.381,45.198,6489.526
cmt,119.263,1467.996,1370.193,1090.614,2433.831,23.107,41.984,6.288,6553.277
omt,20.119,418.043,1463.457,76.489,231.832,0.363,746.559,34.964,2991.825
vol,112.864,3027.746,3129.043,154.022,232.386,52.235,1501.558,14.587,8224.442
mil,1.422,726.975,129.017,100.935,134.119,2.076,1285.042,70.721,2450.305
pcr,3.419,724.597,8.139,1.873,2.62,3.191,24.581,2.782,771.201
sgr,6.039,606.441,199.613,608.067,682.707,0.211,18.429,0.047,2121.554
