year,quarter,GDP,LEB,LURC
2024,3,20707.9414062500,132.9998474121,4.1747903824
2024,4,20805.1093750000,133.3506317139,4.1927714348
2025,1,20907.5078125000,133.5021972656,4.2289223671
2025,2,20955.4414062500,133.4676208496,4.3450536728
2025,3,21000.7519531250,133.2926635742,4.5027327538
2025,4,21100.3828125000,133.1926879883,4.6481742859
2026,1,21130.3652343750,133.0238647461,4.8549685478
2026,2,21186.5800781250,132.7837982178,5.0144662857
2026,3,21266.7304687500,132.5543823242,5.0999560356
2026,4,21373.8750000000,132.4522247314,5.1344165802
2027,1,21485.5468750000,132.4590606689,5.1340880394
2027,2,21590.9570312500,132.5366516113,5.1098232269
2027,3,21696.2636718750,132.6629791260,5.0653352737
2027,4,21804.4804687500,132.8302001953,5.0022482872
2028,1,21913.5546875000,133.0323181152,4.9247965813
2028,2,22019.1835937500,133.2537994385,4.8460197449
2028,3,22128.8671875000,133.4920349121,4.7611026764
2028,4,22244.6582031250,133.7608642578,4.6703491211
2029,1,22351.1640625000,134.0275421143,4.5839514732
2029,2,22461.9746093750,134.2985382080,4.5043907166
2029,3,22556.2578125000,134.5319366455,4.4448542595
2029,4,22654.5761718750,134.7382049561,4.4005146027
2030,1,22754.8164062500,134.9057464600,4.3546295166
2030,2,22866.1875000000,135.0705566406,4.3243761063
2030,3,22960.3769531250,135.2206420898,4.2846746445
2030,4,23057.9277343750,135.3896484375,4.2711806297
2031,1,23157.6347656250,135.5469665527,4.2558689117
2031,2,23261.5742187500,135.6987304688,4.2349033356
2031,3,23364.3769531250,135.8439636230,4.2128715515
2031,4,23467.0996093750,135.9839477539,4.1938595772
2032,1,23571.2285156250,136.1197662354,4.1754951477
2032,2,23677.1425781250,136.2545166016,4.1566672325
2032,3,23782.8203125000,136.3843231201,4.1372232437
2032,4,23887.9980468750,136.5088958740,4.1215310097
2033,1,23995.3750000000,136.6304016113,4.1074991226
2033,2,24105.4492187500,136.7538909912,4.0917048454
2033,3,24213.4121093750,136.8706359863,4.0759711266
2033,4,24319.4296875000,136.9758758545,4.0677628517
2034,1,24427.5117187500,137.0749053955,4.0628623962
2034,2,24539.1250000000,137.1737365723,4.0577778816
2034,3,24650.1777343750,137.2653656006,4.0497331619
2034,4,24761.2949218750,137.3530731201,4.0443568230
2035,1,24875.4218750000,137.4375915527,4.0417113304
2035,2,24990.5175781250,137.5224151611,4.0393800735
2035,3,25102.7617187500,137.5978088379,4.0399060249
2035,4,25213.0703125000,137.6612243652,4.0484519005
