year,quarter,GDP,LEB,LURC
2024,3,20707.94141,132.9998474,4.174790382
2024,4,20805.10938,133.3506317,4.192771435
2025,1,20907.50781,133.5021973,4.228922367
2025,2,20968.60742,133.4980011,4.328085899
2025,3,21026.30273,133.3751831,4.458240986
2025,4,21123.96289,133.3020935,4.578660965
2026,1,21198.85156,133.2418976,4.710684299
2026,2,21262.4082,133.1196747,4.818983078
2026,3,21350.38477,132.9783478,4.856658459
2026,4,21465.29102,132.9472351,4.853068829
2027,1,21553.42773,132.956131,4.868627071
2027,2,21665.21094,133.0351105,4.856756687
2027,3,21744.86719,133.1130371,4.863041878
2027,4,21835.32617,133.18573,4.852930546
2028,1,21933.07031,133.2774506,4.823065281
2028,2,22036.02344,133.4085999,4.783073902
2028,3,22145.79297,133.584198,4.725329876
2028,4,22259.5293,133.8067322,4.65500021
2029,1,22363.45508,134.035675,4.584125042
2029,2,22471.87109,134.277359,4.514800549
2029,3,22565.04688,134.4878387,4.462659359
2029,4,22663.24609,134.6806488,4.421359062
2030,1,22764.03516,134.8426208,4.375040054
2030,2,22875.90234,135.0085449,4.341824532
2030,3,22969.88867,135.1623077,4.298627853
2030,4,23067.00195,135.3361206,4.281725883
2031,1,23165.76172,135.4969177,4.264014721
2031,2,23267.51172,135.6473236,4.243367195
2031,3,23368.39648,135.7874146,4.223587513
2031,4,23468.63281,135.9176331,4.208921432
2032,1,23569.93164,136.038559,4.197274208
2032,2,23673.4043,136.1554413,4.186304569
2032,3,23776.67578,136.2653351,4.175373077
2032,4,23880.99805,136.372757,4.166581154
2033,1,23988.33594,136.4812927,4.157252312
2033,2,24098.80859,136.596756,4.143780231
2033,3,24207.22266,136.7077332,4.129724979
2033,4,24313.58984,136.8106384,4.121448994
2034,1,24422.15625,136.9081268,4.11632967
2034,2,24534.17969,137.0063782,4.110852242
2034,3,24645.8457,137.0975952,4.102480888
2034,4,24757.69922,137.186554,4.09580946
2035,1,24872.80273,137.2721558,4.092369556
2035,2,24988.81445,137.3593597,4.0886693
2035,3,25102.11914,137.4379883,4.087249756
2035,4,25213.45703,137.5036011,4.094876289
