year,quarter,GDP,LEB,LURC
2024,3,20707.94141,132.9998474,4.174790382
2024,4,20805.10938,133.3506317,4.192771435
2025,1,20907.50781,133.5021973,4.228922367
2025,2,20955.25977,133.4694977,4.343575001
2025,3,21000.24414,133.292923,4.502545357
2025,4,21099.78125,133.1921082,4.648952484
2026,1,21129.38281,133.0216522,4.856628418
2026,2,21185.56055,132.7800751,5.01668787
2026,3,21265.76563,132.5498047,5.10236454
2026,4,21373.08008,132.447525,5.136623859
2027,1,21485.06836,132.4548035,5.136000156
2027,2,21590.51367,132.5330811,5.111399174
2027,3,21696.08789,132.6598816,5.066717148
2027,4,21804.43359,132.8289795,5.002437115
2028,1,21913.66602,133.032074,4.924557209
2028,2,22019.375,133.254715,4.845323086
2028,3,22129.10742,133.4937286,4.760053635
2028,4,22244.94531,133.7633514,4.668940067
2029,1,22351.49023,134.0305176,4.582386494
2029,2,22462.24609,134.3022614,4.502417564
2029,3,22556.50586,134.5352173,4.443284512
2029,4,22654.75,134.7412872,4.399129868
2030,1,22754.98828,134.9080963,4.353705406
2030,2,22866.41211,135.0730743,4.323280334
2030,3,22960.68945,135.2230377,4.2835989
2030,4,23058.22656,135.3921356,4.270112038
2031,1,23157.91016,135.549408,4.254810333
2031,2,23261.82422,135.7009888,4.233952045
2031,3,23364.60938,135.8459625,4.212053776
2031,4,23467.33789,135.985733,4.193140507
2032,1,23571.45117,136.1213379,4.174866199
2032,2,23677.40039,136.256012,4.156065941
2032,3,23783.06641,136.3857574,4.136641026
2032,4,23888.18555,136.5101166,4.121055126
2033,1,23995.52344,136.6313782,4.107130527
2033,2,24105.56641,136.755188,4.091026306
2033,3,24213.50195,136.8705597,4.076233864
2033,4,24319.44141,136.9764099,4.067565441
2034,1,24427.5957,137.0753632,4.062591553
2034,2,24539.11719,137.1740875,4.057685852
2034,3,24650.14648,137.265625,4.049651146
2034,4,24761.2168,137.3531036,4.044356346
2035,1,24875.33008,137.4373322,4.04186821
2035,2,24990.42578,137.5221863,4.039510727
2035,3,25102.65625,137.5974426,4.040064812
2035,4,25212.91406,137.6607819,4.04864645
