year,quarter,GDP,LEB,LURC
2024,3,20707.94141,132.9998474,4.174790382
2024,4,20805.10938,133.3506317,4.192771435
2025,1,20907.50781,133.5021973,4.228922367
2025,2,20976.91016,133.5170746,4.317456245
2025,3,21043.875,133.4297638,4.428863049
2025,4,21140.83398,133.3761597,4.531775475
2026,1,21206.89063,133.3007965,4.660612106
2026,2,21280.88867,133.1942139,4.763647556
2026,3,21361.33008,133.0713654,4.821495533
2026,4,21455.04492,133.0043793,4.854653835
2027,1,21553.74609,132.9901581,4.871733665
2027,2,21650.66602,133.0165863,4.875629425
2027,3,21751.2793,133.0857086,4.860394001
2027,4,21856.32227,133.1984863,4.824771881
2028,1,21961.39648,133.3479462,4.774349213
2028,2,22061.93359,133.5179443,4.721189022
2028,3,22167.08789,133.7056427,4.660232067
2028,4,22278.42188,133.9268341,4.590932846
2029,1,22381.92383,134.1500549,4.5229702
2029,2,22490.9082,134.386261,4.456947803
2029,3,22584.01758,134.592392,4.407545567
2029,4,22681.35742,134.7789764,4.36996603
2030,1,22780.56641,134.9319,4.328729153
2030,2,22890.69727,135.0862427,4.301393032
2030,3,22983.11523,135.2269287,4.264417171
2030,4,23079.23242,135.3883209,4.253171921
2031,1,23177.27344,135.537735,4.240401745
2031,2,23277.96094,135.6768494,4.224574089
2031,3,23377.27148,135.8046417,4.210009575
2031,4,23476.5957,135.9237061,4.199889183
2032,1,23577.86914,136.036972,4.190957069
2032,2,23681.58594,136.1497192,4.181094646
2032,3,23785.53906,136.2592621,4.169659615
2032,4,23889.28906,136.3657227,4.160911083
2033,1,23995.39844,136.4714355,4.152586937
2033,2,24104.38867,136.5802612,4.142179012
2033,3,24211.44336,136.6834106,4.131497383
2033,4,24316.91992,136.7780151,4.126577377
2034,1,24424.82813,136.86763,4.12466526
2034,2,24536.38477,136.9587708,4.122012138
2034,3,24647.60938,137.04422,4.115683079
2034,4,24759.04492,137.1267853,4.111645222
2035,1,24873.70898,137.2074127,4.10990572
2035,2,24989.46289,137.2894287,4.108059406
2035,3,25102.50977,137.3627014,4.108848572
2035,4,25213.74609,137.4248047,4.117401123
