year,quarter,GDP,LEB,LURC
2024,3,20707.94141,132.9998474,4.174790382
2024,4,20805.10938,133.3506317,4.192771435
2025,1,20907.50781,133.5021973,4.228922367
2025,2,20976.91016,133.5170746,4.317456245
2025,3,21043.875,133.4297638,4.428863049
2025,4,21140.83398,133.3761597,4.531775475
2026,1,21230.73633,133.3544769,4.631049633
2026,2,21290.74609,133.2619324,4.728589535
2026,3,21387.39844,133.1616211,4.75377512
2026,4,21491.46875,133.1437225,4.75909853
2027,1,21571.43555,133.1314392,4.78943634
2027,2,21679.75977,133.1766663,4.79047966
2027,3,21760.35938,133.2297516,4.80643177
2027,4,21852.74023,133.2883453,4.802146912
2028,1,21951.49805,133.3722992,4.775640488
2028,2,22054.24805,133.4981842,4.737953663
2028,3,22162.48242,133.6649628,4.684396267
2028,4,22275.30469,133.8780365,4.617978573
2029,1,22378.48828,134.0980377,4.550874233
2029,2,22486.35742,134.3317413,4.48502636
2029,3,22578.98047,134.5351105,4.435769558
2029,4,22676.64648,134.7216187,4.396935463
2030,1,22776.81836,134.8779602,4.352848053
2030,2,22887.91602,135.0384216,4.321837425
2030,3,22980.93945,135.1865234,4.280964851
2030,4,23077.28125,135.3548584,4.266343594
2031,1,23175.20898,135.509903,4.251028538
2031,2,23275.53906,135.6528015,4.233618736
2031,3,23374.99414,135.7837372,4.217829227
2031,4,23473.55078,135.9029083,4.207953453
2032,1,23573.86914,136.013382,4.200627804
2032,2,23676.77734,136.1210632,4.193267822
2032,3,23779.63672,136.2236481,4.185035706
2032,4,23883.6543,136.3250122,4.178429604
2033,1,23990.53906,136.4287872,4.170586586
2033,2,24100.52148,136.538681,4.159315109
2033,3,24208.40234,136.6448059,4.147011757
2033,4,24314.47852,136.7431641,4.140260696
2034,1,24422.72266,136.8361359,4.136764526
2034,2,24534.55273,136.9302368,4.132765293
2034,3,24646.10938,137.0184631,4.125155449
2034,4,24757.95117,137.1036987,4.119958401
2035,1,24873.03516,137.1865845,4.117431164
2035,2,24989.20703,137.2718048,4.114072323
2035,3,25102.66602,137.3474731,4.114031315
2035,4,25214.16602,137.4124908,4.121332169
