year,quarter,gdpr,jpc,ruc,ehhc,rmff
2024,1,23053.63365896,122.507,3.78255341754924,157.82066666666699,5.33
2024,2,23223.86670432,123.275,3.9605100422256,158.39733333333299,5.33
2024,3,23383.6550095985,123.662435754018,4.17509157789752,158.88265991210901,5.2660870552063
2024,4,23493.3614315941,124.178408091393,4.19327002380661,159.41923522949199,4.65793466567993
2025,1,23610.1299031524,124.741214542802,4.22819050082276,159.70182800293,4.30800008773804
2025,2,23721.5501811521,125.421194048909,4.27923890876936,159.871017456055,4.06703281402588
2025,3,23829.5343219488,126.161586613892,4.32864351832904,159.98236083984401,3.64760875701904
2025,4,23942.5699457823,126.933762730504,4.37475632184967,160.08477783203099,3.13173913955689
2026,1,24054.0512082593,127.842692347157,4.42013337376966,160.19152832031199,2.68922233581543
2026,2,24155.7598623094,128.472631736043,4.46675113015618,160.29124450683599,2.61999988555909
2026,3,24248.187625027,129.217613953871,4.49695046822886,160.34721374511699,2.62076091766358
2026,4,24343.7788356289,129.879398653278,4.52604417339462,160.38935852050801,2.625
2027,1,24445.340382843,130.514485116916,4.55794874818997,160.42370605468699,2.625
2027,2,24547.3296725355,131.148676596493,4.58729069526143,160.44947814941401,2.625
2027,3,24655.5518445231,131.671063189688,4.60246539039448,160.48176574707,2.62500000000001
2027,4,24769.1480254297,132.323782621672,4.59871881114881,160.55195617675801,2.62500000000001
2028,1,24881.6699252152,132.998652236501,4.58123219250605,160.65663146972599,2.62500000000001
2028,2,24988.3683111386,133.685289595993,4.56199968770482,160.77980041503901,2.62500000000001
2028,3,25101.4024459742,134.402581267308,4.53255815381129,160.92161560058599,2.62500000000001
2028,4,25222.0188890903,135.077574730215,4.49269051112137,161.09811401367199,2.62500000000001
2029,1,25335.3605952802,135.702688346838,4.44918357852572,161.28659057617199,2.62500000000001
2029,2,25456.3769861001,136.380747747036,4.4023889374241,161.49644470214801,2.62500000000001
2029,3,25560.084392475,137.085576274068,4.36789724740168,161.689849853515,2.62500000000001
2029,4,25668.6774349168,137.779238564892,4.34173868536495,161.870513916015,2.62500000000001
2030,1,25779.3181446502,138.456139741857,4.30884160426497,162.056564331055,2.62500000000001
2030,2,25902.0927004996,139.167582566992,4.28859226698742,162.33708190917901,2.62500000000001
2030,3,26004.189582667,139.872013172217,4.25767500354975,162.40591430664,2.62500000000001
2030,4,26110.7938158341,140.546638555943,4.25172260202007,162.51142883300699,2.62500000000001
2031,1,26219.3233849736,141.242595025511,4.2441781835695,162.65228271484301,2.62500000000001
2031,2,26328.9770698983,141.942889214764,4.23577853204333,162.794509887695,2.62500000000001
2031,3,26436.7712525272,142.659954765255,4.23066151816679,162.92164611816401,2.62500000000001
2031,4,26544.7920102937,143.384383321538,4.23136398004432,163.03649902343699,2.62500000000001
2032,1,26655.621920952,144.10081107928,4.23311841495545,163.14413452148401,2.62500000000001
2032,2,26769.9603479583,144.805322887614,4.23320278872057,163.25144958496,2.62500000000001
2032,3,26885.0264183134,145.535749288331,4.23074771576801,163.35797119140599,2.62500000000001
2032,4,27000.2442326984,146.260497946291,4.22974114186893,163.46362304687401,2.62500000000001
2033,1,27118.2113706867,146.996017855041,4.22817774857935,163.57037353515599,2.6250000000001
2033,2,27239.6819808182,147.738492812853,4.22358159748735,163.681549072238,2.62499999997017
2033,3,27359.1091612188,148.463731037043,4.21821483335212,163.789459228228,2.62499999987391
2033,4,27477.0881726012,149.195079088536,4.21774230886672,163.89047241141299,2.62499999972876
2034,1,27598.0958234911,149.932173880185,4.21971044125488,163.98794555548699,2.62499999956546
2034,2,27723.573137124,150.668379444004,4.21983679568584,164.088073728957,2.62499999948574
2034,3,27848.7351473386,151.410000024019,4.21579070775623,164.184494016971,2.62499999952639
2034,4,27974.3908500927,152.159894030568,4.21355216180535,164.278625486923,2.62499999973283
2035,1,28103.7424375457,152.920308325865,4.2132802285807,164.37210082925,2.62500000012286
2035,2,28234.5719019818,153.681035900304,4.21249673489156,164.46751403628599,2.62500000010697
2035,3,28362.4099671161,154.444354247516,4.21406967964563,164.55545043452,2.62499999824077
2035,4,28488.4326594166,155.204062283626,4.2231815900947,164.632825994325,2.62
