bea_code,variable_cost
1111A0,21609
1111B0,51224
111200,13152
111300,16905
111400,15210
111900,22317
112120,31101
1121A0,61981
112300,41277
112A00,13087
113000,17409
114000,2938
115000,21099
211000,112108
212100,20328
212230,7758
2122A0,11181
212310,9672
2123A0,12478
213111,20563
21311A,65601
221100,187625
221200,40410
221300,9833
233210,37500
233262,79958
230301,162025
230302,66019
2332A0,139558
233412,63175
2334A0,195205
233230,55319
2332D0,97399
233240,84756
233411,225625
2332C0,113105
321100,29026
321200,20457
321910,21794
3219A0,22720
327100,6716
327200,20352
327310,5117
327320,26766
327330,4809
327390,9825
327400,5267
327910,2343
327991,4418
327992,2881
327993,4440
327999,3405
331110,75773
331200,20492
331314,5439
331313,2597
33131B,23898
331410,7953
331420,20348
331490,11506
331510,14489
331520,11073
332114,5543
33211A,11400
332119,10002
332200,7530
332310,40182
332320,37686
332410,5915
332420,7046
332430,15519
332500,7580
332600,8067
332710,34650
332720,23093
332800,21543
332913,3839
33291A,20424
332991,5195
332996,5362
33299A,10462
332999,12375
333111,20610
333112,7104
333120,25845
333130,16199
333242,7395
33329A,26642
333314,4409
333316,1431
333318,16154
333414,3448
333415,26087
333413,5345
333511,6157
333514,8896
333517,7422
33351B,7902
333611,9910
333612,2687
333613,3662
333618,23791
333912,7791
333914,12710
333920,24315
333991,2536
333993,5782
333994,2325
33399A,18028
33399B,9560
334111,4652
334112,2626
334118,4263
334210,3167
334220,17487
334290,3023
334413,29544
334418,12721
33441A,21141
334510,21564
334511,34601
334512,2006
334513,9739
334514,3559
334515,7424
334516,10817
334517,6636
33451A,8332
334300,2059
334610,1288
335110,1373
335120,9321
335210,2527
335220,14184
335311,4629
335312,9027
335313,9533
335314,9946
335911,6529
335912,1647
335920,9624
335930,10035
335991,2189
335999,8811
336111,31907
336112,169985
336120,22718
336211,13900
336212,9977
336213,5347
336214,14106
336310,35022
336320,20987
336350,35064
336360,27424
336370,31785
336390,54573
3363A0,24022
336411,96507
336412,33957
336413,26565
336414,16657
33641A,7270
336500,11114
336611,23365
336612,9591
336991,5682
336992,4870
336999,7039
337110,14243
337121,10894
337122,3953
337127,4450
33712N,2906
337215,6772
33721A,16121
337900,8891
339112,26330
339113,21463
339114,3093
339115,3814
339116,4515
339910,7829
339920,8728
339930,1866
339940,3067
339950,12295
339990,21860
311111,19069
311119,29198
311210,14382
311221,8980
311225,8559
311224,29639
311230,8344
311300,31788
311410,28279
311420,30279
311513,42753
311514,18955
31151A,39076
311520,7006
311615,59437
31161A,139836
311700,12734
311810,47513
3118A0,21896
311910,29061
311920,11729
311930,8171
311940,17895
311990,27057
312110,38322
312120,21467
312130,16160
312140,8572
312200,17420
313100,6824
313200,11861
313300,6503
314110,7997
314120,3090
314900,7810
315000,10345
316000,4004
322110,5357
322120,31449
322130,25217
322210,58021
322220,18666
322230,5904
322291,9890
322299,3712
323110,68455
323120,2846
324110,406656
324121,11782
324122,8048
324190,15171
325110,35243
325120,8287
325130,5585
325180,21541
325190,90555
325211,72563
3252A0,13451
325411,7659
325412,72268
325413,8266
325414,13678
325310,11426
325320,10324
325510,20318
325520,10927
325610,23577
325620,21803
325910,3592
3259A0,33333
326110,33743
326120,15417
326130,3903
326140,9012
326150,9681
326160,9972
326190,84889
326210,17025
326220,4744
326290,15348
423100,96721
423400,165311
423600,153086
423800,132288
423A00,210872
424200,143104
424400,137592
424700,48957
424A00,262761
425000,41330
4200ID,0
441000,201698
445000,174853
452000,171901
444000,91458
446000,95125
447000,67094
448000,107088
454000,145755
4B0000,176221
481000,162935
482000,56591
483000,46315
484000,280129
485000,56886
486000,14761
48A000,119900
492000,79190
493000,120084
511110,17318
511120,20147
511130,25841
5111A0,7234
511200,147469
512100,80666
512200,6263
515100,67829
515200,56707
517110,213063
517210,127041
517A00,32382
518200,135121
519130,110140
5191A0,6105
522A00,289045
52A000,381830
523900,325749
523A00,190701
524113,70703
5241XX,387748
524200,281476
525000,178698
531HSO,212560
531HST,29101
531ORE,840569
532100,42070
532400,58023
532A00,23549
533000,57790
541100,219433
541511,204051
541512,226860
54151A,41629
541200,128391
541300,270949
541610,184482
5416A0,49595
541700,566377
541800,90165
541400,22397
541920,7277
541940,29416
5419A0,59928
550000,508095
561300,311868
561700,169113
561100,59667
561200,24510
561400,71111
561500,49642
561600,60503
561900,51202
562000,92041
611100,44251
611A00,131211
611B00,74190
621100,464037
621200,88346
621300,64432
621400,135683
621500,36112
621600,78836
621900,33501
622000,749196
623A00,176033
623B00,51216
624100,108403
624400,53756
624A00,52074
711100,18500
711200,35996
711500,22675
711A00,33638
712000,15100
713100,13889
713200,39924
713900,75365
721000,164649
722110,306141
722211,282417
722A00,142324
811100,145826
811200,36432
811300,46525
811400,32533
812100,65263
812200,15354
812300,23263
812900,58623
813100,88180
813A00,49051
813B00,89861
814000,18684
S00500,447773
S00600,274549
491000,66882
S00101,11191
S00102,9855
GSLGE,881537
GSLGH,292219
GSLGO,769275
S00201,53847
S00202,44124
S00203,218785
