nipa_line,pce_category,bea_code,commodity_description,producers_value,purchasers_value
7,New domestic autos,336111,Automobile manufacturing,14874,51558
7,New domestic autos,336211,Motor vehicle body manufacturing,81,400
8,New foreign autos,336111,Automobile manufacturing,5233,18343
9,New light trucks,336112,Light truck and utility vehicle manufacturing,136403,210429
13,Used autos,S00401,Scrap,-10652,-10652
13,Used autos,S00402,Used and secondhand goods,34807,79038
17,Used light trucks,S00401,Scrap,-1577,-1577
17,Used light trucks,S00402,Used and secondhand goods,61289,99250
21,Tires,326210,Tire manufacturing,13388,34611
21,Tires,S00402,Used and secondhand goods,-3,-3
22,Accessories and parts,325610,Soap and cleaning compound manufacturing,177,315
22,Accessories and parts,326220,Rubber and plastics hoses and belting manufacturing,443,1117
22,Accessories and parts,326290,Other rubber product manufacturing,99,251
22,Accessories and parts,327200,Glass and glass product manufacturing,109,277
22,Accessories and parts,331200,Steel product manufacturing from purchased steel,12,28
22,Accessories and parts,332500,Hardware manufacturing,556,1555
22,Accessories and parts,332600,Spring and wire product manufacturing,97,234
22,Accessories and parts,333318,Other commercial and service industry machinery manufacturing,0,0
22,Accessories and parts,334220,Broadcast and wireless communications equipment,6,18
22,Accessories and parts,335110,Electric lamp bulb and part manufacturing,90,231
22,Accessories and parts,335911,Storage battery manufacturing,1450,3486
22,Accessories and parts,336310,Motor vehicle gasoline engine and engine parts manufacturing,3369,8104
22,Accessories and parts,336320,Motor vehicle electrical and electronic equipment manufacturing,3441,8277
22,Accessories and parts,336350,Motor vehicle transmission and power train parts manufacturing,2878,6923
22,Accessories and parts,336360,Motor vehicle seating and interior trim manufacturing,0,1
22,Accessories and parts,336390,Other Motor Vehicle Parts Manufacturing,5114,12301
22,Accessories and parts,3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",1476,3551
22,Accessories and parts,339990,All other miscellaneous manufacturing,99,261
22,Accessories and parts,S00401,Scrap,-30,-30
22,Accessories and parts,S00402,Used and secondhand goods,-2344,1116
25,Furniture,3219A0,All other wood product manufacturing,129,312
25,Furniture,337121,Upholstered household furniture manufacturing,15986,32100
25,Furniture,337122,Nonupholstered wood household furniture manufacturing,13290,32076
25,Furniture,337127,Institutional furniture manufacturing,1,3
25,Furniture,33712N,Other household nonupholstered furniture,6624,16030
25,Furniture,337215,"Showcase, partition, shelving, and locker manufacturing",402,975
25,Furniture,33721A,Office furniture and custom architectural woodwork and millwork manufacturing,71,171
25,Furniture,337900,Other furniture related product manufacturing,7833,18956
25,Furniture,339113,Surgical appliance and supplies manufacturing,102,267
25,Furniture,532A00,General and consumer goods rental,3335,3335
25,Furniture,S00402,Used and secondhand goods,281,559
26,"Clocks, lamps, lighting fixtures, and other household decorative items",316000,Leather and allied product manufacturing,136,414
26,"Clocks, lamps, lighting fixtures, and other household decorative items",3219A0,All other wood product manufacturing,839,2237
26,"Clocks, lamps, lighting fixtures, and other household decorative items",323110,Printing,219,575
26,"Clocks, lamps, lighting fixtures, and other household decorative items",327100,Clay product and refractory manufacturing,741,1853
26,"Clocks, lamps, lighting fixtures, and other household decorative items",327200,Glass and glass product manufacturing,534,809
26,"Clocks, lamps, lighting fixtures, and other household decorative items",327390,Other concrete product manufacturing,53,143
26,"Clocks, lamps, lighting fixtures, and other household decorative items",327400,Lime and gypsum product manufacturing,26,71
26,"Clocks, lamps, lighting fixtures, and other household decorative items",331200,Steel product manufacturing from purchased steel,110,530
26,"Clocks, lamps, lighting fixtures, and other household decorative items",332310,Plate work and fabricated structural product manufacturing,59,290
26,"Clocks, lamps, lighting fixtures, and other household decorative items",332430,"Metal can, box, and other metal container (light gauge) manufacturing",1,6
26,"Clocks, lamps, lighting fixtures, and other household decorative items",332500,Hardware manufacturing,336,1767
26,"Clocks, lamps, lighting fixtures, and other household decorative items",332999,Other fabricated metal manufacturing,78,387
26,"Clocks, lamps, lighting fixtures, and other household decorative items",33451A,"Watch, clock, and other measuring and controlling device manufacturing",726,2000
26,"Clocks, lamps, lighting fixtures, and other household decorative items",335120,Lighting fixture manufacturing,2021,5801
26,"Clocks, lamps, lighting fixtures, and other household decorative items",339990,All other miscellaneous manufacturing,2666,7546
26,"Clocks, lamps, lighting fixtures, and other household decorative items",S00402,Used and secondhand goods,7722,14988
27,Carpets and other floor coverings,314110,Carpet and rug mills,6282,16826
27,Carpets and other floor coverings,314900,Other textile product mills,123,360
27,Carpets and other floor coverings,326140,Polystyrene foam product manufacturing,22,65
27,Carpets and other floor coverings,326150,Urethane and other foam product (except polystyrene) manufacturing,172,501
27,Carpets and other floor coverings,326190,Other plastics product manufacturing,69,179
27,Carpets and other floor coverings,326290,Other rubber product manufacturing,118,303
27,Carpets and other floor coverings,S00402,Used and secondhand goods,913,1773
28,Window coverings,314120,Curtain and linen mills,2171,7921
28,Window coverings,314900,Other textile product mills,128,403
28,Window coverings,337900,Other furniture related product manufacturing,2591,9645
28,Window coverings,S00402,Used and secondhand goods,0,102
30,Major household appliances,326150,Urethane and other foam product (except polystyrene) manufacturing,28,85
30,Major household appliances,326290,Other rubber product manufacturing,11,35
30,Major household appliances,331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",53,90
30,Major household appliances,33329A,Other industrial machinery manufacturing,105,188
30,Major household appliances,333414,Heating equipment (except warm air furnaces) manufacturing,1237,2528
30,Major household appliances,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",2760,5636
30,Major household appliances,335120,Lighting fixture manufacturing,3,6
30,Major household appliances,335210,Small electrical appliance manufacturing,2800,5706
30,Major household appliances,335220,Major Household Appliance Manufacturing,20303,39010
30,Major household appliances,335999,All other miscellaneous electrical equipment and component manufacturing,7,14
30,Major household appliances,S00402,Used and secondhand goods,-54,-20
31,Small electric household appliances,333991,Power-driven handtool manufacturing,8,39
31,Small electric household appliances,335210,Small electrical appliance manufacturing,3791,6928
31,Small electric household appliances,S00402,Used and secondhand goods,-27,37
33,Dishes and flatware,326190,Other plastics product manufacturing,4562,5915
33,Dishes and flatware,327100,Clay product and refractory manufacturing,1789,2832
33,Dishes and flatware,327200,Glass and glass product manufacturing,4922,9751
33,Dishes and flatware,332200,Cutlery and handtool manufacturing,523,779
33,Dishes and flatware,332999,Other fabricated metal manufacturing,106,149
33,Dishes and flatware,339910,Jewelry and silverware manufacturing,86,147
33,Dishes and flatware,S00402,Used and secondhand goods,-567,-567
34,Nonelectric cookware and tableware,3219A0,All other wood product manufacturing,791,1067
34,Nonelectric cookware and tableware,326140,Polystyrene foam product manufacturing,458,789
34,Nonelectric cookware and tableware,326150,Urethane and other foam product (except polystyrene) manufacturing,197,340
34,Nonelectric cookware and tableware,326190,Other plastics product manufacturing,8883,11519
34,Nonelectric cookware and tableware,331200,Steel product manufacturing from purchased steel,532,661
34,Nonelectric cookware and tableware,331520,Nonferrous metal foundries,20,25
