bea_code,import_total,domestic_total
1111A0,964,25831
1111B0,1646,48376
111200,8403,16154
111300,19325,23981
111400,2687,19157
111900,1607,19000
112120,9,38051
1121A0,1660,87288
112300,103,43498
112A00,4794,31991
113000,2611,19295
114000,15165,4839
115000,139,29634
211000,146745,182157
212100,565,23135
212230,103,8316
2122A0,2117,9142
212310,327,14378
2123A0,1990,13678
213111,0,28579
21311A,1047,86647
221100,2414,453026
221200,0,79645
221300,0,80272
233210,0,47122
233262,0,101181
230301,0,204343
230302,0,84450
2332A0,0,169385
233412,0,79772
2334A0,0,252295
233230,0,70668
2332D0,0,123210
233240,0,123629
233411,0,270470
2332C0,0,143054
321100,7674,32362
321200,7318,22944
321910,2478,21630
3219A0,3797,24461
327100,7339,6903
327200,7991,22532
327310,1125,7955
327320,0,30566
327330,38,6069
327390,2101,12245
327400,184,7865
327910,1828,3882
327991,3282,4870
327992,465,3802
327993,837,5436
327999,587,4630
331110,33717,90454
331200,3714,8521
331313,10720,8159
33131B,6044,21313
331410,19053,11346
331420,3197,17429
331490,2565,6186
331510,901,15392
331520,85,12259
332114,0,6692
33211A,0,13017
332119,656,10532
332200,8009,7475
332310,4101,42267
332320,1699,40459
332410,2129,5840
332420,1264,6886
332430,1098,16620
332500,7819,7268
332600,1656,4836
332710,0,36694
332720,4799,26769
332800,0,25940
332913,1277,4250
33291A,14996,16182
332991,3095,4445
332996,0,5854
33299A,2689,9782
332999,9979,9297
333111,9452,18632
333112,121,7342
333120,15205,24548
333130,1874,14544
333242,3949,3003
33329A,16962,14711
333314,5513,1248
333316,736,858
333318,7511,16640
333414,1084,4072
333415,11961,28779
333413,2551,4736
333511,2522,5631
333514,1474,9798
333517,6593,5685
33351B,3080,6521
333611,3451,6020
333612,5034,127
333613,2897,3397
333618,12009,16504
333912,3527,6418
333914,4771,13951
333920,7770,24316
333991,4748,2414
333993,3003,5972
333994,632,1539
33399A,14855,11297
33399B,5665,8060
334111,57773,2733
334112,5165,2429
334118,37623,3469
334210,11118,3785
334220,96405,14990
334290,1443,4316
334413,30318,27404
334418,772,16099
33441A,15462,16503
334510,9413,25545
334511,5707,44456
334512,1308,2689
334513,5412,5391
334514,2165,4887
334515,5730,6076
334516,5268,9201
334517,3484,5850
33451A,6307,9286
334300,29191,702
334610,502,1672
335110,1276,1097
335120,14643,10498
335210,12086,2556
335220,16879,18480
335311,2296,4786
335312,11674,5290
335313,4052,9679
335314,9065,5436
335911,6606,5157
335912,833,1376
335920,7943,7102
335930,3010,10254
335991,911,2152
335999,9290,7163
336111,66986,15512
336112,130631,184980
336120,15250,23160
336211,65,9641
336212,2054,9457
336213,288,5796
336214,1138,15105
336310,17475,31516
336320,17590,20295
336350,15849,36395
336360,8731,28628
336370,579,34058
336390,36318,38403
3363A0,12917,21539
336411,8839,84246
336412,13538,8824
336413,14753,19488
336414,391,15781
33641A,718,6360
336500,3089,10676
336611,495,23985
336612,1703,8719
336991,4905,5642
336992,256,4143
336999,548,7511
337110,1603,14280
337121,6012,11439
337122,12137,3159
337127,9106,3362
33712N,4403,3157
337215,6176,6651
33721A,1813,18396
337900,2288,9884
339112,11966,29463
339113,17230,22010
339114,1727,3296
339115,4869,5526
339116,0,4845
339910,13874,3626
339920,8009,8448
339930,19442,1374
339940,2029,2802
339950,289,9884
339990,15498,20430
311111,830,21957
311119,628,28811
311210,1595,13542
311221,1092,11806
311225,233,9544
311224,7627,25149
311230,495,8968
311300,7751,35507
311410,3512,30654
311420,7264,36270
311513,1318,40938
311514,1079,18928
31151A,570,40737
311520,70,7063
311615,486,64215
31161A,9407,133625
311700,4535,13474
311810,4710,50990
3118A0,892,23200
311910,3399,34283
311920,2127,12322
311930,2481,11315
311940,2425,20915
311990,3606,27944
312110,3908,43983
312120,5265,31618
312130,7827,20335
312140,6367,18420
312200,1010,60052
313100,595,1746
313200,5324,8049
313300,1558,7617
314110,2871,8908
314120,13519,3158
314900,8052,7844
315000,98430,9388
316000,43662,3066
322110,3016,2538
322120,8141,28181
322130,1482,32021
322210,2160,60084
322220,5413,16977
322230,319,5814
322291,1006,11415
322299,966,4318
323110,2574,62573
323120,15,4348
324110,52275,393308
324121,85,13034
324122,267,10232
324190,97,26551
325110,6231,57983
325120,208,9253
325130,2282,4035
325180,8845,22683
325190,31974,89769
325211,14623,62301
3252A0,4592,14784
325411,93,11057
325412,90985,130036
325413,37,13253
325414,51322,15484
325310,6663,14831
325320,1855,12452
325510,1239,24783
325520,673,13389
325610,3323,30478
325620,8157,30533
325910,167,3561
3259A0,5725,34299
326110,4706,35645
326120,1318,16438
326130,0,4513
326140,0,8933
326150,0,10592
326160,1022,10617
326190,23758,87495
326210,14196,15915
326220,3282,4082
326290,3314,15331
423100,0,119171
423400,0,181822
423600,0,194654
423800,0,143360
423A00,0,256695
424200,0,180282
424400,0,169240
424700,0,151805
424A00,0,349443
425000,0,43955
4200ID,0,0
441000,0,301795
445000,0,236794
452000,0,227336
444000,0,142932
446000,0,119506
447000,0,89937
448000,0,138822
454000,0,281208
4B0000,0,230437
481000,46387,187193
482000,0,63887
483000,0,33802
484000,0,303802
485000,0,95605
486000,0,38764
48A000,0,155068
492000,36,99891
493000,0,128456
511110,145,13086
511120,261,12930
511130,1780,34795
5111A0,618,11634
511200,1618,201625
512100,9705,110610
512200,1415,15949
515100,0,81692
515200,0,22500
517110,123,360605
517210,0,222808
517A00,8,32951
518200,415,246753
519130,809,53048
5191A0,1,9771
522A00,0,317476
52A000,6638,602828
523900,0,330699
523A00,46,149394
524113,0,90314
5241XX,53368,563617
524200,0,370208
525000,0,186494
531HSO,0,1553178
531HST,0,467675
531ORE,0,1287904
532100,0,138332
532400,0,107320
532A00,0,30820
533000,0,85211
541100,3837,340047
541511,13251,260567
541512,13317,186058
54151A,7541,52065
541200,3357,175988
541300,14599,306932
541610,31335,152038
5416A0,0,57625
541700,30832,577435
541800,7586,385112
541400,321,37445
541920,255,12529
541940,0,39410
5419A0,2913,83883
550000,0,547576
561300,1570,383122
561700,0,189322
561100,0,38067
561200,0,33599
561400,118,92163
561500,76,57124
561600,116,69951
561900,0,34331
562000,214,133022
611100,0,53010
611A00,983,246918
611B00,748,78506
621100,15,491912
621200,15,129300
621300,15,97945
621400,15,166035
621500,15,55027
621600,15,107502
621900,15,36183
622000,4439,1050985
623A00,14,190002
623B00,15,54057
624100,0,112901
624400,0,58404
624A00,0,55383
711100,425,46174
711200,538,45943
711500,0,39029
711A00,345,32130
712000,0,21225
713100,0,18089
713200,0,112143
713900,0,86057
721000,0,236902
722110,0,372382
722211,0,383843
722A00,0,187585
811100,0,194228
811200,0,50433
811300,0,64079
811400,4786,55127
812100,0,79630
812200,0,21338
812300,0,29199
812900,0,81333
813100,0,100202
813A00,0,58458
813B00,0,95191
814000,0,18684
S00500,0,599358
S00600,0,379143
491000,280,68867
S00102,0,1233
GSLGE,0,832472
GSLGH,0,68698
GSLGO,0,836043
S00203,0,107053
S00401,6709,1762
S00402,7363,-11928
S00300,260429,0
S00900,-26,-200971
