gtap_code,bea_code,bea_description
CMT,311930,Flavoring syrup and concentrate manufacturing
CMT,311940,Seasoning and dressing manufacturing
CMT,311990,All other food manufacturing
CMT,312110,Soft drink and ice manufacturing
CMT,312120,Breweries
CMT,312130,Wineries
CMT,312140,Distilleries
CMT,312200,Tobacco manufacturing
OMT,311111,Dog and cat food manufacturing
OMT,311119,Other animal food manufacturing
OMT,311210,Flour milling and malt manufacturing
OMT,311221,Wet corn milling
OMT,311224,Soybean and other oilseed processing
OMT,311225,Fats and oils refining and blending
OMT,311230,Breakfast cereal manufacturing
OMT,311300,Sugar and confectionery product manufacturing
OMT,311410,Frozen food manufacturing
OMT,311420,"Fruit and vegetable canning, pickling, and drying"
OMT,31151A,Fluid milk and butter manufacturing
OMT,311513,Cheese manufacturing
OMT,311514,"Dry, condensed, and evaporated dairy product manufacturing"
OMT,311520,Ice cream and frozen dessert manufacturing
OMT,31161A,"Animal (except poultry) slaughtering, rendering, and processing"
OMT,311615,Poultry processing
OMT,311700,Seafood product preparation and packaging
OMT,311810,Bread and bakery product manufacturing
OMT,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing"
OMT,311910,Snack food manufacturing
OMT,311920,Coffee and tea manufacturing
OMT,311930,Flavoring syrup and concentrate manufacturing
OMT,311940,Seasoning and dressing manufacturing
OMT,311990,All other food manufacturing
OMT,312110,Soft drink and ice manufacturing
OMT,312120,Breweries
OMT,312130,Wineries
OMT,312140,Distilleries
OMT,312200,Tobacco manufacturing
VOL,311111,Dog and cat food manufacturing
VOL,311119,Other animal food manufacturing
VOL,311210,Flour milling and malt manufacturing
VOL,311221,Wet corn milling
VOL,311224,Soybean and other oilseed processing
VOL,311225,Fats and oils refining and blending
VOL,311230,Breakfast cereal manufacturing
VOL,311300,Sugar and confectionery product manufacturing
VOL,311410,Frozen food manufacturing
VOL,311420,"Fruit and vegetable canning, pickling, and drying"
VOL,31151A,Fluid milk and butter manufacturing
VOL,311513,Cheese manufacturing
VOL,311514,"Dry, condensed, and evaporated dairy product manufacturing"
VOL,311520,Ice cream and frozen dessert manufacturing
VOL,31161A,"Animal (except poultry) slaughtering, rendering, and processing"
VOL,311615,Poultry processing
VOL,311700,Seafood product preparation and packaging
VOL,311810,Bread and bakery product manufacturing
VOL,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing"
VOL,311910,Snack food manufacturing
VOL,311920,Coffee and tea manufacturing
VOL,311930,Flavoring syrup and concentrate manufacturing
VOL,311940,Seasoning and dressing manufacturing
VOL,311990,All other food manufacturing
VOL,312110,Soft drink and ice manufacturing
VOL,312120,Breweries
VOL,312130,Wineries
VOL,312140,Distilleries
VOL,312200,Tobacco manufacturing
SGR,311111,Dog and cat food manufacturing
SGR,311119,Other animal food manufacturing
SGR,311210,Flour milling and malt manufacturing
SGR,311221,Wet corn milling
SGR,311224,Soybean and other oilseed processing
SGR,311225,Fats and oils refining and blending
SGR,311230,Breakfast cereal manufacturing
SGR,311300,Sugar and confectionery product manufacturing
SGR,311410,Frozen food manufacturing
SGR,311420,"Fruit and vegetable canning, pickling, and drying"
SGR,31151A,Fluid milk and butter manufacturing
SGR,311513,Cheese manufacturing
SGR,311514,"Dry, condensed, and evaporated dairy product manufacturing"
SGR,311520,Ice cream and frozen dessert manufacturing
SGR,31161A,"Animal (except poultry) slaughtering, rendering, and processing"
SGR,311615,Poultry processing
SGR,311700,Seafood product preparation and packaging
SGR,311810,Bread and bakery product manufacturing
SGR,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing"
SGR,311910,Snack food manufacturing
SGR,311920,Coffee and tea manufacturing
SGR,311930,Flavoring syrup and concentrate manufacturing
SGR,311940,Seasoning and dressing manufacturing
SGR,311990,All other food manufacturing
SGR,312110,Soft drink and ice manufacturing
SGR,312120,Breweries
SGR,312130,Wineries
SGR,312140,Distilleries
SGR,312200,Tobacco manufacturing
OFD,311111,Dog and cat food manufacturing
OFD,311119,Other animal food manufacturing
OFD,311210,Flour milling and malt manufacturing
OFD,311221,Wet corn milling
OFD,311224,Soybean and other oilseed processing
OFD,311225,Fats and oils refining and blending
OFD,311230,Breakfast cereal manufacturing
OFD,311300,Sugar and confectionery product manufacturing
OFD,311410,Frozen food manufacturing
OFD,311420,"Fruit and vegetable canning, pickling, and drying"
OFD,31151A,Fluid milk and butter manufacturing
OFD,311513,Cheese manufacturing
OFD,311514,"Dry, condensed, and evaporated dairy product manufacturing"
OFD,311520,Ice cream and frozen dessert manufacturing
OFD,31161A,"Animal (except poultry) slaughtering, rendering, and processing"
OFD,311615,Poultry processing
OFD,311700,Seafood product preparation and packaging
OFD,311810,Bread and bakery product manufacturing
OFD,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing"
OFD,311910,Snack food manufacturing
OFD,311920,Coffee and tea manufacturing
OFD,311930,Flavoring syrup and concentrate manufacturing
OFD,311940,Seasoning and dressing manufacturing
OFD,311990,All other food manufacturing
OFD,312110,Soft drink and ice manufacturing
OFD,312120,Breweries
OFD,312130,Wineries
OFD,312140,Distilleries
OFD,312200,Tobacco manufacturing
B_T,311111,Dog and cat food manufacturing
B_T,311119,Other animal food manufacturing
B_T,311210,Flour milling and malt manufacturing
B_T,311221,Wet corn milling
B_T,311224,Soybean and other oilseed processing
B_T,311225,Fats and oils refining and blending
B_T,311230,Breakfast cereal manufacturing
B_T,311300,Sugar and confectionery product manufacturing
B_T,311410,Frozen food manufacturing
B_T,311420,"Fruit and vegetable canning, pickling, and drying"
B_T,31151A,Fluid milk and butter manufacturing
B_T,311513,Cheese manufacturing
B_T,311514,"Dry, condensed, and evaporated dairy product manufacturing"
B_T,311520,Ice cream and frozen dessert manufacturing
B_T,31161A,"Animal (except poultry) slaughtering, rendering, and processing"
B_T,311615,Poultry processing
B_T,311700,Seafood product preparation and packaging
B_T,311810,Bread and bakery product manufacturing
B_T,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing"
