bea_code,output
1111A0,38216
1111B0,57882
111200,18806
111300,29958
111400,19868
111900,26575
112120,38538
1121A0,88052
112300,44568
112A00,33065
113000,18803
114000,8929
115000,25650
211000,253994
212100,36917
212230,13613
2122A0,15940
212310,16750
2123A0,18631
213111,27011
21311A,79918
221100,389429
221200,69553
221300,15137
233210,45025
233262,94786
230301,201129
230302,80563
2332A0,160242
233412,75093
2334A0,251129
233230,63523
2332D0,114163
233240,102085
233411,254640
2332C0,135588
321100,33015
321200,24572
321910,25652
3219A0,25216
327100,8151
327200,26375
327310,8362
327320,31698
327330,6451
327390,12546
327400,8117
327910,4847
327991,5026
327992,4363
327993,6297
327999,5086
331110,88122
331200,22956
331314,5895
331313,2796
33131B,26965
331410,10255
331420,21941
331490,14056
331510,17116
331520,12784
332114,6791
33211A,12963
332119,11231
332200,9469
332310,46780
332320,43517
332410,7149
332420,8393
332430,17958
332500,8652
332600,9205
332710,37942
332720,29585
332800,25934
332913,4858
33291A,26088
332991,6199
332996,6199
33299A,13483
332999,13884
333111,25071
333112,7948
333120,32502
333130,17590
333242,8838
33329A,31457
333314,4912
333316,1645
333318,19853
333414,4461
333415,33272
333413,6037
333511,6598
333514,9475
333517,7895
33351B,8996
333611,13001
333612,3175
333613,4976
333618,25656
333912,9162
333914,17531
333920,30387
333991,3362
333993,7012
333994,2653
33399A,23128
33399B,11674
334111,19053
334112,5300
334118,8763
334210,7913
334220,29742
334290,5456
334413,64242
334418,20054
33441A,30097
334510,33529
334511,53880
334512,3199
334513,11478
334514,5914
334515,12045
334516,15909
334517,9532
33451A,13206
334300,3122
334610,1868
335110,1502
335120,11976
335210,3604
335220,19058
335311,5348
335312,10294
335313,12107
335314,10671
335911,7508
335912,2159
335920,11418
335930,14329
335991,3444
335999,10836
336111,40026
336112,212846
336120,26195
336211,14898
336212,11044
336213,5566
336214,17707
336310,39899
336320,24050
336350,41980
336360,31795
336370,37922
336390,65768
3363A0,27475
336411,149598
336412,46690
336413,37147
336414,19803
33641A,9506
336500,12802
336611,25522
336612,10484
336991,7580
336992,7664
336999,8769
337110,15062
337121,12313
337122,4089
337127,4913
33712N,3382
337215,7299
33721A,19031
337900,10192
339112,42970
339113,35133
339114,4770
339115,6480
339116,5672
339910,7955
339920,10394
339930,2018
339940,2854
339950,13729
339990,26874
311111,23289
311119,31691
311210,16417
311221,9747
311225,9494
311224,33186
311230,10141
311300,37054
311410,32477
311420,33528
311513,47880
311514,23878
31151A,43864
311520,7789
311615,67566
31161A,148693
311700,13837
311810,43201
3118A0,26568
311910,38990
311920,13798
311930,11796
311940,21767
311990,29832
312110,45037
312120,32469
312130,22074
312140,16287
312200,60770
313100,7085
313200,13275
313300,7037
314110,9757
314120,3508
314900,9041
315000,10877
316000,4834
322110,6825
322120,37742
322130,32836
322210,64739
322220,21468
322230,5692
322291,11391
322299,4605
323110,80732
323120,3197
324110,494678
324121,13228
324122,10884
324190,20004
325110,54211
325120,9599
325130,6982
325180,31504
325190,116361
325211,88717
3252A0,15155
325411,15008
325412,186428
325413,17623
325414,35968
325310,17159
325320,14906
325510,27867
325520,15044
325610,39633
325620,43256
325910,4286
3259A0,42943
326110,39233
326120,18809
326130,4466
326140,9865
326150,10936
326160,11131
326190,99640
326210,20044
326220,5363
326290,18274
423100,137973
423400,208554
423600,235739
423800,181458
423A00,286644
424200,214737
424400,175663
424700,150223
424A00,372464
425000,51908
4200ID,38513
441000,355735
445000,249238
452000,233936
444000,143185
446000,109929
447000,106626
448000,141036
454000,297033
4B0000,210225
481000,236301
482000,79569
483000,54977
484000,367154
485000,78301
486000,48072
48A000,141646
492000,97060
493000,123834
511110,26103
511120,27680
511130,38579
5111A0,10861
511200,282066
512100,132386
512200,18350
515100,94812
515200,108804
517110,347843
517210,261541
517A00,49042
518200,176238
519130,180540
5191A0,8457
522A00,401362
52A000,656555
523900,350231
523A00,199086
524113,91851
5241XX,588379
524200,362909
525000,157361
531HSO,1553242
531HST,480396
531ORE,1265027
532100,68743
532400,93317
532A00,29457
533000,157206
541100,354713
541511,154045
541512,272381
54151A,49605
541200,171519
541300,330571
541610,252629
5416A0,53429
541700,255406
541800,129678
541400,36167
541920,12933
541940,42612
5419A0,88352
550000,568623
561300,386620
561700,195967
561100,65095
561200,29656
561400,80333
561500,59102
561600,67172
561900,55635
562000,115616
611100,48102
611A00,234379
611B00,74988
621100,494669
621200,129731
621300,104475
621400,163332
621500,55075
621600,90246
621900,34811
622000,846173
623A00,188718
623B00,55166
624100,118210
624400,53045
624A00,53204
711100,27902
711200,50860
711500,46453
711A00,52784
712000,21000
713100,23969
713200,36797
713900,92732
721000,282916
722110,371751
722211,340769
722A00,105011
811100,137772
811200,21463
811300,43092
811400,24942
812100,80981
812200,23698
812300,29392
812900,68719
813100,100432
813A00,59660
813B00,100045
814000,18684
S00500,624290
S00600,405353
491000,69731
S00101,15873
S00102,9206
GSLGE,1019982
GSLGH,312935
GSLGO,935967
S00201,16928
S00202,63412
S00203,273909
