summary_code,detail_code,detail_description
332,33291A,Valve and fittings other than plumbing
332,332991,Ball and roller bearing manufacturing
332,332996,Fabricated pipe and pipe fitting manufacturing
332,332999,Other fabricated metal manufacturing
332,33299A,"Ammunition, arms, ordnance, and accessories manufacturing"
333,333111,Farm machinery and equipment manufacturing
333,333112,Lawn and garden equipment manufacturing
333,333120,Construction machinery manufacturing
333,333130,Mining and oil and gas field machinery manufacturing
333,333242,Semiconductor machinery manufacturing
333,33329A,Other industrial machinery manufacturing
333,333314,Optical instrument and lens manufacturing
333,333316,Photographic and photocopying equipment manufacturing
333,333318,Other commercial and service industry machinery manufacturing
333,333413,Industrial and commercial fan and blower and air purification equipment manufacturing
333,333414,Heating equipment (except warm air furnaces) manufacturing
333,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing"
333,333511,Industrial mold manufacturing
333,333514,"Special tool, die, jig, and fixture manufacturing"
333,333517,Machine tool manufacturing
333,33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing"
333,333611,Turbine and turbine generator set units manufacturing
333,333612,"Speed changer, industrial high-speed drive, and gear manufacturing"
333,333613,Mechanical power transmission equipment manufacturing
333,333618,Other engine equipment manufacturing
333,333912,Air and gas compressor manufacturing
333,333914,"Measuring, dispensing, and other pumping equipment manufacturing"
333,333920,Material handling equipment manufacturing
333,333991,Power-driven handtool manufacturing
333,333993,Packaging machinery manufacturing
333,333994,Industrial process furnace and oven manufacturing
333,33399A,Other general purpose machinery manufacturing
333,33399B,Fluid power process machinery
334,334111,Electronic computer manufacturing
334,334112,Computer storage device manufacturing
334,334118,Computer terminals and other computer peripheral equipment manufacturing
334,334210,Telephone apparatus manufacturing
334,334220,Broadcast and wireless communications equipment
334,334290,Other communications equipment manufacturing
334,334300,Audio and video equipment manufacturing
334,334413,Semiconductor and related device manufacturing
334,334418,Printed circuit assembly (electronic assembly) manufacturing
334,33441A,Other electronic component manufacturing
334,334510,Electromedical and electrotherapeutic apparatus manufacturing
334,334511,"Search, detection, and navigation instruments manufacturing"
334,334512,Automatic environmental control manufacturing
334,334513,Industrial process variable instruments manufacturing
334,334514,Totalizing fluid meter and counting device manufacturing
334,334515,Electricity and signal testing instruments manufacturing
334,334516,Analytical laboratory instrument manufacturing
334,334517,Irradiation apparatus manufacturing
334,33451A,"Watch, clock, and other measuring and controlling device manufacturing"
334,334610,Manufacturing and reproducing magnetic and optical media
335,335110,Electric lamp bulb and part manufacturing
335,335120,Lighting fixture manufacturing
335,335210,Small electrical appliance manufacturing
335,335220,Major household appliance manufacturing
335,335311,"Power, distribution, and specialty transformer manufacturing"
335,335312,Motor and generator manufacturing
335,335313,Switchgear and switchboard apparatus manufacturing
335,335314,Relay and industrial control manufacturing
335,335911,Storage battery manufacturing
335,335912,Primary battery manufacturing
335,335920,Communication and energy wire and cable manufacturing
335,335930,Wiring device manufacturing
335,335991,Carbon and graphite product manufacturing
335,335999,All other miscellaneous electrical equipment and component manufacturing
3361MV,336111,Automobile manufacturing
3361MV,336112,Light truck and utility vehicle manufacturing
3361MV,336120,Heavy duty truck manufacturing
3361MV,336211,Motor vehicle body manufacturing
3361MV,336212,Truck trailer manufacturing
3361MV,336213,Motor home manufacturing
3361MV,336214,Travel trailer and camper manufacturing
3361MV,336310,Motor vehicle gasoline engine and engine parts manufacturing
3361MV,336320,Motor vehicle electrical and electronic equipment manufacturing
3361MV,336350,Motor vehicle transmission and power train parts manufacturing
3361MV,336360,Motor vehicle seating and interior trim manufacturing
3361MV,336370,Motor vehicle metal stamping
3361MV,336390,Other motor vehicle parts manufacturing
3361MV,3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing"
3364OT,336411,Aircraft manufacturing
3364OT,336412,Aircraft engine and engine parts manufacturing
3364OT,336413,Other aircraft parts and auxiliary equipment manufacturing
