nipa_line,pce_category,bea_code,commodity_description,producers_value,purchasers_value
77,"Membership clubs, sports centers, parks, theaters, and museums",481,Air transportation,451,451
77,"Membership clubs, sports centers, parks, theaters, and museums",512,Motion picture and sound recording industries,10526,10526
77,"Membership clubs, sports centers, parks, theaters, and museums",514,"Data processing, internet publishing, and other information services",5549,5549
77,"Membership clubs, sports centers, parks, theaters, and museums",532RL,Rental and leasing services and lessors of intangible assets,3495,3495
77,"Membership clubs, sports centers, parks, theaters, and museums",561,Administrative and support services,4477,4477
77,"Membership clubs, sports centers, parks, theaters, and museums",61,Educational services,30600,30600
77,"Membership clubs, sports centers, parks, theaters, and museums",711AS,"Performing arts, spectator sports, museums, and related activities",96414,96414
77,"Membership clubs, sports centers, parks, theaters, and museums",713,"Amusements, gambling, and recreation industries",124964,124964
77,"Membership clubs, sports centers, parks, theaters, and museums",721,Accommodation,10744,10744
78,"Audio-video, photographic, and information processing equipment services",513,Broadcasting and telecommunications,92417,92417
78,"Audio-video, photographic, and information processing equipment services",514,"Data processing, internet publishing, and other information services",54999,54999
78,"Audio-video, photographic, and information processing equipment services",532RL,Rental and leasing services and lessors of intangible assets,2129,2129
78,"Audio-video, photographic, and information processing equipment services",5412OP,"Miscellaneous professional, scientific, and technical services",11415,11415
78,"Audio-video, photographic, and information processing equipment services",81,"Other services, except government",10698,10698
79,Gambling,711AS,"Performing arts, spectator sports, museums, and related activities",2277,2277
79,Gambling,713,"Amusements, gambling, and recreation industries",155331,155331
79,Gambling,GSLE,State and local government enterprises,49341,49341
80,Other recreational services,113FF,"Forestry, fishing, and related activities",266,266
80,Other recreational services,334,Computer and electronic products,16,34
80,Other recreational services,5412OP,"Miscellaneous professional, scientific, and technical services",57992,57992
80,Other recreational services,561,Administrative and support services,22183,22183
80,Other recreational services,81,"Other services, except government",26750,26750
83,Purchased meals and beverages,481,Air transportation,1186,1186
83,Purchased meals and beverages,482,Rail transportation,106,106
83,Purchased meals and beverages,512,Motion picture and sound recording industries,4597,4597
83,Purchased meals and beverages,711AS,"Performing arts, spectator sports, museums, and related activities",1153,1153
83,Purchased meals and beverages,722,Food services and drinking places,1188857,1188857
84,Food furnished to employees,111CA,Farms,2092,2835
84,Food furnished to employees,113FF,"Forestry, fishing, and related activities",200,251
84,Food furnished to employees,311FT,Food and beverage and tobacco products,26890,31788
85,Accommodations,721,Accommodation,198192,198192
88,Financial services furnished without payment,521CI,"Federal Reserve banks, credit intermediation, and related activities",280000,280000
88,Financial services furnished without payment,525,"Funds, trusts, and other financial vehicles",285522,285522
89,"Financial service charges, fees, and commissions",521CI,"Federal Reserve banks, credit intermediation, and related activities",134809,134809
89,"Financial service charges, fees, and commissions",523,"Securities, commodity contracts, and investments",341004,341004
89,"Financial service charges, fees, and commissions",GFE,Federal government enterprises,200,200
91,Life insurance,524,Insurance carriers and related activities,127570,127570
92,Net household insurance,524,Insurance carriers and related activities,18286,18286
93,Net health insurance,524,Insurance carriers and related activities,270143,270143
94,Net motor vehicle and other transportation insurance,524,Insurance carriers and related activities,102888,102888
97,Telecommunication services,513,Broadcasting and telecommunications,181244,181244
97,Telecommunication services,532RL,Rental and leasing services and lessors of intangible assets,43,43
97,Telecommunication services,561,Administrative and support services,42,42
97,Telecommunication services,721,Accommodation,73,73
98,Postal and delivery services,487OS,Other transportation and support activities,9765,9765
98,Postal and delivery services,561,Administrative and support services,919,919
98,Postal and delivery services,GFE,Federal government enterprises,6449,6449
98,Postal and delivery services,Used,"Scrap, used and secondhand goods",1,2
99,Internet access,513,Broadcasting and telecommunications,110570,110570
101,Higher education,61,Educational services,206341,206341
102,"Nursery, elementary, and secondary schools",61,Educational services,43024,43024
102,"Nursery, elementary, and secondary schools",624,Social assistance,20018,20018
103,Commercial and vocational schools,61,Educational services,82838,82838
104,Professional and other services,323,Printing and related support activities,7,9
104,Professional and other services,327,Nonmetallic mineral products,3274,5816
104,Professional and other services,332,Fabricated metal products,10,19
104,Professional and other services,481,Air transportation,34,34
104,Professional and other services,4A0,Other retail,16101,16101
104,Professional and other services,5411,Legal services,141177,141177
104,Professional and other services,5412OP,"Miscellaneous professional, scientific, and technical services",47072,47072
104,Professional and other services,561,Administrative and support services,12498,12498
104,Professional and other services,81,"Other services, except government",55165,55165
105,Personal care and clothing services,532RL,Rental and leasing services and lessors of intangible assets,1575,1575
105,Personal care and clothing services,61,Educational services,24,24
105,Personal care and clothing services,81,"Other services, except government",231463,231463
106,Social services and religious activities,623,Nursing and residential care facilities,73984,73984
106,Social services and religious activities,624,Social assistance,217822,217822
106,Social services and religious activities,81,"Other services, except government",42942,42942
107,Household maintenance,481,Air transportation,20,20
107,Household maintenance,483,Water transportation,2,2
107,Household maintenance,484,Truck transportation,13531,13531
107,Household maintenance,493,Warehousing and storage,242,242
107,Household maintenance,532RL,Rental and leasing services and lessors of intangible assets,5377,5377
107,Household maintenance,561,Administrative and support services,52169,52169
107,Household maintenance,81,"Other services, except government",36686,36686
107,Household maintenance,ORE,Other real estate,8094,8094
109,Foreign travel by U.S. residents,481,Air transportation,73125,73125
109,Foreign travel by U.S. residents,483,Water transportation,28773,28773
109,Foreign travel by U.S. residents,Other,Noncomparable imports and rest-of-the-world adjustment,167306,167306
110,Less: Expenditures in the United States by nonresidents,Other,Noncomparable imports and rest-of-the-world adjustment,-216558,-216558
111,Final consumption expenditures of nonprofit institutions serving households,513,Broadcasting and telecommunications,6346,6346
111,Final consumption expenditures of nonprofit institutions serving households,5411,Legal services,667,667
111,Final consumption expenditures of nonprofit institutions serving households,5412OP,"Miscellaneous professional, scientific, and technical services",8289,8289
111,Final consumption expenditures of nonprofit institutions serving households,61,Educational services,113195,113195
111,Final consumption expenditures of nonprofit institutions serving households,621,Ambulatory health care services,8019,8019
111,Final consumption expenditures of nonprofit institutions serving households,622,Hospitals,53587,53587
111,Final consumption expenditures of nonprofit institutions serving households,623,Nursing and residential care facilities,17136,17136
111,Final consumption expenditures of nonprofit institutions serving households,624,Social assistance,119297,119297
111,Final consumption expenditures of nonprofit institutions serving households,711AS,"Performing arts, spectator sports, museums, and related activities",26383,26383
111,Final consumption expenditures of nonprofit institutions serving households,713,"Amusements, gambling, and recreation industries",9621,9621
111,Final consumption expenditures of nonprofit institutions serving households,81,"Other services, except government",250574,250574
