bea_code,import_total,domestic_total
111CA,60583,752670
113FF,19721,91926
211,173828,341385
212,6204,126129
213,2486,127122
22,2489,826575
23,0,2654454
321,25049,235078
327,34277,260316
331,97599,324174
332,95090,596159
333,238286,573807
334,450871,583529
335,181397,326145
3361MV,425791,1097274
3364OT,61240,276891
337,52505,206723
339,129005,432030
311FT,160073,2049166
313TT,38118,128144
315AL,174570,389420
322,30993,297230
323,3424,94246
324,71542,856083
325,378963,1393999
326,77940,428137
42,0,124064
441,0,0
445,0,0
452,0,0
4A0,0,18145
481,70847,260909
482,0,9272
483,0,36462
484,0,72153
485,0,193115
486,0,398
487OS,27,377522
493,0,194043
511,6277,669916
512,11204,196951
513,131,782474
514,2072,663418
521CI,8442,1271814
523,43,823024
524,95240,1506677
525,0,307168
HS,0,3143691
ORE,0,2093951
532RL,0,632732
5411,6027,462441
5415,62392,750909
5412OP,134838,3045890
55,0,822607
561,4573,1259955
562,550,200537
61,2720,507730
621,298,1660530
622,10588,1537605
623,86,347764
624,0,357161
711AS,629,297301
713,3,328394
721,0,320224
722,0,1538111
81,0,1304532
GFGD,0,854761
GFGN,0,586717
GFE,196,81385
GSLG,0,2550362
GSLE,0,156048
Used,17449,238831
Other,369204,-217370
