bea_code,variable_cost
111CA,394402
113FF,49838
211,235209
212,82710
213,76704
22,292345
23,2005413
321,146281
327,136715
331,266862
332,398061
333,348118
334,300184
335,159814
3361MV,681706
3364OT,286137
337,75339
339,133925
311FT,1053054
313TT,43151
315AL,17168
322,180916
323,69956
324,477607
325,578777
326,259244
42,1966263
441,367562
445,253612
452,210869
4A0,999013
481,241678
482,65655
483,63106
484,404782
485,132099
486,35429
487OS,286331
493,182052
511,393081
512,130179
513,566910
514,597512
521CI,764619
523,901092
524,1134281
525,243515
HS,338234
ORE,1360292
532RL,353680
5411,283517
5415,657167
5412OP,1800023
55,796473
561,1102469
562,138423
61,428973
621,1363414
622,1130878
623,323385
624,332571
711AS,217700
713,196531
721,235311
722,1117614
81,905117
GFGD,682193
GFGN,459951
GFE,105323
GSLG,2984517
GSLE,484630
