pce_mp,pce_title,total_billions,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
4,Motor vehicles and parts,750,0.64,1.12,1.68,2.66,4.50,4.52,6.48,11.82,22.01,44.56
5,Furnishings and durable household equipment,480,3.17,4.50,5.45,6.92,7.17,8.18,9.54,13.15,14.86,27.07
6,Recreational goods and vehicles,636,1.37,2.39,2.66,5.08,5.75,7.69,8.62,12.75,15.79,37.91
7,Other durable goods,276,2.17,3.72,4.26,5.28,6.61,7.64,9.59,9.97,15.93,34.84
9,Food and beverages purchased for off-premises consumption,1444,6.96,7.54,8.21,8.37,9.32,10.02,10.42,11.15,12.04,15.97
10,Clothing and footwear,510,4.56,6.12,6.71,7.74,8.84,10.16,10.85,12.28,13.30,19.44
11,Gasoline and other energy goods,467,5.68,7.40,8.00,8.75,9.41,10.73,11.05,11.22,11.93,15.84
12,Other nondurable goods,1560,4.49,6.09,7.47,8.13,9.26,9.86,11.04,11.69,13.17,18.82
15,Housing and utilities,3348,4.81,6.03,6.82,7.86,8.41,9.46,10.37,11.67,13.03,21.55
16,Health care,3058,4.90,7.76,9.06,9.36,10.14,10.36,10.99,11.35,11.99,14.09
17,Transportation services,617,2.27,3.63,4.10,5.07,6.46,8.79,9.61,12.53,16.60,30.95
18,Recreation services,739,2.23,4.00,4.84,5.95,7.47,8.69,11.10,12.15,14.79,28.77
19,Food services and accommodations,1364,3.25,4.20,4.85,5.97,6.64,8.28,9.80,12.51,15.80,28.70
20,Financial services and insurance,1436,1.74,2.90,3.68,4.37,5.18,6.51,7.71,10.00,11.96,45.94
21,Other services,1583,2.23,3.70,3.90,4.80,5.73,7.13,8.91,11.56,14.37,37.69
22,Final consumption expenditures of NPISH,554,3.84,5.33,6.14,6.97,7.85,8.84,9.94,11.61,13.76,25.74
