row,gtap_code,price_raw,price_adj,share,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,has_weights
16,coa,0.47,0.27075320479083803,1.2158605974192707e-6,14.774294670846395,14.372788045615415,16.224666039922166,15.732146966326608,18.7989299020171,17.651677373304782,18.419707528704823,17.83256280986549,18.126954058154446,15.997078967459254,TRUE
17,oil,0.38,0.21890684642663502,7.811793546154577e-9,8.655172413793103,12.086399640469637,9.757537331380222,10.029147810079007,9.05644274483415,8.548179871520343,8.214379215339159,7.7704328180239735,6.875770097985801,6.11646510804501,TRUE
18,gas,0.8,0.46085651879291584,4.598968110100061e-6,4.598746081504702,3.9941576315937306,4.9935503618356325,4.188080079772954,3.945575998293095,4.329764453961456,4.206300724321494,4.566658996297304,5.025020326395816,5.418294072738136,TRUE
19,oxt,1.01,0.5818313549760562,1.9565162730140516e-5,2.61928541512291,1.1496088136675715,1.015705400689069,1.2502876428626217,1.4607165717474437,1.8087080656673804,1.1469462555944796,1.4978139447315022,1.7308869014190758,4.124852012082453,TRUE
20,cmt,1.32,0.7604132560083111,0.005482903045887641,1.1849529780564263,1.3426212010561205,1.6200616541682153,1.4650638617580767,1.8447701422967717,1.5060670949321913,1.3838155909889918,1.4957220258142794,1.5196600253136971,1.3266356122550593,TRUE
21,omt,1.41,0.812259614372514,0.004378222147619227,1.4231974921630095,2.7133307117577665,4.36607708957345,6.19199202270461,7.835349341036288,10.152748037116346,12.370812711156546,14.461435474760998,16.28207169978961,18.67303245222895,TRUE
22,vol,2.17,1.250073307225784,7.356893278478131e-4,1,1,1,1,1,1,1,1,1,1,FALSE
23,mil,2.06,1.1867055358917582,0.005225504899222244,1,1,1,1,1,1,1,1,1,1,FALSE
24,pcr,7.52,4.3320512766534085,1.1074426677405778e-4,1,1,1,1,1,1,1,1,1,1,FALSE
25,sgr,2.17,1.250073307225784,0.0017867765151320402,1,1,1,1,1,1,1,1,1,1,FALSE
26,ofd,2.59,1.4920229795920648,0.02092886061905997,1,1,1,1,1,1,1,1,1,1,FALSE
27,b_t,3.4,1.9586402048698923,0.014174974256409007,1,1,1,1,1,1,1,1,1,1,FALSE
28,tex,10.26,5.9104848535191445,0.0020134927910573216,1,1,1,1,1,1,1,1,1,1,FALSE
29,wap,15.04,8.664102553306817,0.00869826693927766,1,1,1,1,1,1,1,1,1,1,FALSE
30,lea,15.41,8.87724869324854,0.00348174905784987,1,1,1,1,1,1,1,1,1,1,FALSE
31,lum,3.74,2.1545042253568814,3.782977450494551e-4,1,1,1,1,1,1,1,1,1,1,FALSE
32,ppp,2.7,1.555390750926091,0.002496889880682944,1,1,1,1,1,1,1,1,1,1,FALSE
33,p_c,0.56,0.32259956315504107,0.010306476069366938,1,1,1,1,1,1,1,1,1,1,FALSE
34,chm,3.06,1.762776184382903,0.00552816179849828,1,1,1,1,1,1,1,1,1,1,FALSE
35,bph,1.04,0.5991134744307905,0.013381526630256112,1,1,1,1,1,1,1,1,1,1,FALSE
36,rpp,6.41,3.6926128568282377,0.003125833378237939,1,1,1,1,1,1,1,1,1,1,FALSE
37,nmm,6.01,3.4621845974317798,8.577415413469271e-4,1,1,1,1,1,1,1,1,1,1,FALSE
38,i_s,6.81,3.9230411162246956,5.1536955879564144e-5,1,1,1,1,1,1,1,1,1,1,FALSE
39,nfm,12.06,6.947412020803206,8.49224583206433e-6,1,1,1,1,1,1,1,1,1,1,FALSE
40,fmp,11.59,6.676658816012368,0.0013597960482699468,1,1,1,1,1,1,1,1,1,1,FALSE
41,ele,12.22,7.0395833245617885,0.007153011250655257,1,1,1,1,1,1,1,1,1,1,FALSE
42,eeq,13.07,7.529243375779262,0.004657647674249792,1,1,1,1,1,1,1,1,1,1,FALSE
43,ome,9.57,5.512996106060255,7.694051790198152e-4,1,1,1,1,1,1,1,1,1,1,FALSE
44,mvh,12.22,7.0395833245617885,0.017836159085313056,1,1,1,1,1,1,1,1,1,1,FALSE
45,otn,7.7,4.435743993381815,0.0016305339591163948,1,1,1,1,1,1,1,1,1,1,FALSE
46,omf,6.4,3.6868521503433267,0.02626482435413824,1,1,1,1,1,1,1,1,1,1,FALSE
47,ely,1.19,0.6855240717044622,0.01112163785260916,1,1,1,1,1,1,1,1,1,1,FALSE
48,gdt,1.3,0.7488918430384882,0.0011832677666829276,1,1,1,1,1,1,1,1,1,1,FALSE
49,wtr,1.93,1.1118163515879091,0.0053695945578820575,1,1,1,1,1,1,1,1,1,1,FALSE
50,cns,2.16,1.2443126007408727,1.5731164503047642e-4,1,1,1,1,1,1,1,1,1,1,FALSE
51,trd,1.46,0.8410631467970714,0.14561849673759758,1,1,1,1,1,1,1,1,1,1,FALSE
52,afs,1.34,0.771934668978134,0.06859984482588703,1,1,1,1,1,1,1,1,1,1,FALSE
53,otp,1.37,0.7892167884328684,0.014464010016709532,1,1,1,1,1,1,1,1,1,1,FALSE
54,wtp,1.34,0.771934668978134,0.0016963104625894079,1,1,1,1,1,1,1,1,1,1,FALSE
55,atp,0.86,0.4954207577023844,0.011095887627225453,1,1,1,1,1,1,1,1,1,1,FALSE
56,whs,1.84,1.0599699932237063,3.7017325442125594e-4,1,1,1,1,1,1,1,1,1,1,FALSE
57,cmn,1.57,0.9044309181310972,0.04022724293803256,1,1,1,1,1,1,1,1,1,1,FALSE
58,ofi,1.24,0.7143276041290195,0.036348487790950984,1,1,1,1,1,1,1,1,1,1,FALSE
59,ins,1.15,0.6624812457648164,0.0374836924462536,1,1,1,1,1,1,1,1,1,1,FALSE
60,rsa,1.32,0.7604132560083111,0.04012765113324662,1,1,1,1,1,1,1,1,1,1,FALSE
61,obs,1.47,0.8468238532819827,0.023963419649463445,1,1,1,1,1,1,1,1,1,1,FALSE
62,ros,1.45,0.8353024403121598,0.0538672938150391,1,1,1,1,1,1,1,1,1,1,FALSE
63,osg,1.55,0.8929095051612743,0.005332660923789635,1,1,1,1,1,1,1,1,1,1,FALSE
64,edu,1.31,0.7546525495233997,0.02878630531022408,1,1,1,1,1,1,1,1,1,1,FALSE
65,hht,1.53,0.8813880921914515,0.1855707945881653,1,1,1,1,1,1,1,1,1,1,FALSE
66,dwe,1.21,0.6970454846742851,0.11884637360921127,1,1,1,1,1,1,1,1,1,1,FALSE
