row,gtap_code,price_effect,share
22,vol,2.17,7.356893278478131e-4
23,mil,2.06,0.005225504899222244
24,pcr,7.52,1.1074426677405778e-4
25,sgr,2.17,0.0017867765151320402
26,ofd,2.59,0.02092886061905997
27,b_t,3.4,0.014174974256409007
28,tex,10.26,0.0020134927910573216
29,wap,15.04,0.00869826693927766
30,lea,15.41,0.00348174905784987
31,lum,3.74,3.782977450494551e-4
32,ppp,2.7,0.002496889880682944
33,p_c,0.56,0.010306476069366938
34,chm,3.06,0.00552816179849828
35,bph,1.04,0.013381526630256112
36,rpp,6.41,0.003125833378237939
37,nmm,6.01,8.577415413469271e-4
38,i_s,6.81,5.1536955879564144e-5
39,nfm,12.06,8.49224583206433e-6
40,fmp,11.59,0.0013597960482699468
41,ele,12.22,0.007153011250655257
42,eeq,13.07,0.004657647674249792
43,ome,9.57,7.694051790198152e-4
44,mvh,12.22,0.017836159085313056
45,otn,7.7,0.0016305339591163948
46,omf,6.4,0.02626482435413824
47,ely,1.19,0.01112163785260916
48,gdt,1.3,0.0011832677666829276
49,wtr,1.93,0.0053695945578820575
50,cns,2.16,1.5731164503047642e-4
51,trd,1.46,0.14561849673759758
52,afs,1.34,0.06859984482588703
53,otp,1.37,0.014464010016709532
54,wtp,1.34,0.0016963104625894079
55,atp,0.86,0.011095887627225453
56,whs,1.84,3.7017325442125594e-4
57,cmn,1.57,0.04022724293803256
58,ofi,1.24,0.036348487790950984
59,ins,1.15,0.0374836924462536
60,rsa,1.32,0.04012765113324662
61,obs,1.47,0.023963419649463445
62,ros,1.45,0.0538672938150391
63,osg,1.55,0.005332660923789635
64,edu,1.31,0.02878630531022408
65,hht,1.53,0.1855707945881653
66,dwe,1.21,0.11884637360921127
