decile,income,consumption_share,scaling_factor,pce_variation
1,37601,0.04057104388472,1.958928221,1.0118
2,60503,0.04620373700342,1.296278543,0.9437
3,73863,0.05977285256542,1.182167458,0.9987
4,86081,0.06717538948895,1.079878982,0.9708
5,100954,0.07924851674200,1.073515933,1.0005
6,116387,0.09095698616051,1.035116932,1.0227
7,136800,0.10356695811366,0.967152599,1.0430
8,163905,0.12390133023651,0.951301455,1.0221
9,207696,0.15411829569047,0.877858759,1.0159
10,500142,0.23451546542583,0.64605785,0.9709
