fiscal_year,revenue_per_gdp,cbo_gdp_base,cbo_gdp_scenario,cbo_gdp_change,cbo_revenue_change
2025,0.17081,30136.1,30111.4,-24.7,-4.219
2026,0.181878,31341.3,31280.6,-60.7,-11.04
2027,0.188187,32538.1,32437.7,-100.4,-18.894
2028,0.190638,33764.5,33620.2,-144.3,-27.509
2029,0.192115,35047.1,34854.7,-192.4,-36.963
2030,0.193282,36393.7,36148.4,-245.3,-47.412
2031,0.194061,37792.1,37489,-303.1,-58.82
2032,0.194851,39252.4,38886.1,-366.3,-71.374
2033,0.195298,40767.9,40332.8,-435.1,-84.974
2034,0.195529,42330.4,41820.7,-509.7,-99.661
2035,0.196059,43936.5,43346,-590.5,-115.773
